,precision,recall,f1-score,support
0,0.6678421112501421,0.649375069129521,0.6584791386271871,18082.0
1,0.6588096006888386,0.6770268775577922,0.6677940213833733,18082.0
accuracy,0.6632009733436567,0.6632009733436567,0.6632009733436567,0.6632009733436567
macro avg,0.6633258559694903,0.6632009733436566,0.6631365800052802,36164.0
weighted avg,0.6633258559694903,0.6632009733436567,0.6631365800052802,36164.0
