,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Optimized Logistic Regression,0.6631733215352285,0.6587229006401636,0.677192788408362,0.6678301655258924,0.721131112867935
Optimized Decision Tree,0.8659716845481694,0.9788696721904624,0.7480920252184493,0.8480611893044105,0.9156402873654473
Random Forest,0.8365501603804889,0.8837253294659184,0.775080190244442,0.8258448484134233,0.9093307722842716
XGBoost,0.9270268775577922,0.9943658364812088,0.8589204733989603,0.9216937182872912,0.9558049642376266
LightGBM,0.930566309036611,0.9972536245768666,0.8635106735980533,0.9255757432051928,0.9574828182287621
